广东电信-组播1,#genre#
广东电信-组播2,#genre#
广东电信-组播3,#genre#
北京联通-组播1,#genre#
北京卫视,http://114.254.147.3:23234/rtp/239.3.1.241:8000
北京新闻频道,http://114.254.147.3:23234/rtp/239.3.1.159:8000
北京影视频道,http://114.254.147.3:23234/rtp/239.3.1.158:8000
北京文艺频道,http://114.254.147.3:23234/rtp/239.3.1.242:8000
北京财经频道,http://114.254.147.3:23234/rtp/239.3.1.116:8000
北京生活频道,http://114.254.147.3:23234/rtp/239.3.1.117:8000
北京纪实科教,http://114.254.147.3:23234/rtp/239.3.1.115:8000
北京卡酷少儿,http://114.254.147.3:23234/rtp/239.3.1.189:8000
北京体育休闲,http://114.254.147.3:23234/rtp/239.3.1.243:8000
北京国际频道,http://114.254.147.3:23234/rtp/239.3.1.235:8000
CCTV-1综合,http://114.254.147.3:23234/rtp/239.3.1.129:8008
CCTV-2财经,http://114.254.147.3:23234/rtp/239.3.1.60:8084
CCTV-3综艺,http://114.254.147.3:23234/rtp/239.3.1.172:8001
CCTV-4中文国际,http://114.254.147.3:23234/rtp/239.3.1.105:8092
CCTV-5体育,http://114.254.147.3:23234/rtp/239.3.1.173:8001
CCTV-5+体育赛事,http://114.254.147.3:23234/rtp/239.3.1.130:8004
CCTV-6电影,http://114.254.147.3:23234/rtp/239.3.1.174:8001
CCTV-7国防军事,http://114.254.147.3:23234/rtp/239.3.1.61:8104
CCTV-8电视剧,http://114.254.147.3:23234/rtp/239.3.1.175:8001
CCTV-9纪录,http://114.254.147.3:23234/rtp/239.3.1.62:8112
CCTV-10科教,http://114.254.147.3:23234/rtp/239.3.1.63:8116
CCTV-11戏曲,http://114.254.147.3:23234/rtp/239.3.1.152:8120
CCTV-12社会与法,http://114.254.147.3:23234/rtp/239.3.1.64:8124
CCTV-13新闻,http://114.254.147.3:23234/rtp/239.3.1.124:8128
CCTV-14少儿,http://114.254.147.3:23234/rtp/239.3.1.65:8132
CCTV-15音乐,http://114.254.147.3:23234/rtp/239.3.1.153:8136
CCTV-16奥林匹克,http://114.254.147.3:23234/rtp/239.3.1.184:8001
CCTV-16奥林匹克4K,http://114.254.147.3:23234/udp/239.3.1.183:8001
CCTV-17农业农村,http://114.254.147.3:23234/rtp/239.3.1.151:8144
CCTV4K超高清,http://114.254.147.3:23234/udp/239.3.1.245:2000
北京卫视4K,http://114.254.147.3:23234/udp/239.3.1.22:8001
湖南卫视,http://114.254.147.3:23234/rtp/239.3.1.132:8012
东方卫视,http://114.254.147.3:23234/rtp/239.3.1.136:8032
浙江卫视,http://114.254.147.3:23234/rtp/239.3.1.137:8036
江苏卫视,http://114.254.147.3:23234/rtp/239.3.1.135:8028
深圳卫视,http://114.254.147.3:23234/rtp/239.3.1.134:8020
广东卫视,http://114.254.147.3:23234/rtp/239.3.1.142:8048
安徽卫视,http://114.254.147.3:23234/rtp/239.3.1.211:8064
天津卫视,http://114.254.147.3:23234/rtp/239.3.1.141:1234
重庆卫视,http://114.254.147.3:23234/rtp/239.3.1.122:8160
山东卫视,http://114.254.147.3:23234/rtp/239.3.1.209:8052
黑龙江卫视,http://114.254.147.3:23234/rtp/239.3.1.133:8016
河北卫视,http://114.254.147.3:23234/rtp/239.3.1.148:8072
辽宁卫视,http://114.254.147.3:23234/rtp/239.3.1.210:8056
湖北卫视,http://114.254.147.3:23234/rtp/239.3.1.138:8044
吉林卫视,http://114.254.147.3:23234/rtp/239.3.1.240:8172
贵州卫视,http://114.254.147.3:23234/rtp/239.3.1.149:8076
东南卫视,http://114.254.147.3:23234/rtp/239.3.1.156:8148
江西卫视,http://114.254.147.3:23234/rtp/239.3.1.123:8164
华数爱上4K,http://114.254.147.3:23234/rtp/239.3.1.236:2000
北京IPTV4K超清,http://114.254.147.3:23234/rtp/239.3.1.249:8001
北京IPTV淘电影,http://114.254.147.3:23234/rtp/239.3.1.250:8001
北京IPTV淘剧场,http://114.254.147.3:23234/rtp/239.3.1.95:8001
北京IPTV淘娱乐,http://114.254.147.3:23234/rtp/239.3.1.100:8001
北京IPTV淘BABY,http://114.254.147.3:23234/rtp/239.3.1.238:8001
北京IPTV萌宠TV,http://114.254.147.3:23234/rtp/239.3.1.102:8001
CCTV-4中文国际 欧洲,http://114.254.147.3:23234/rtp/239.3.1.213:4220
CCTV-4中文国际 美洲,http://114.254.147.3:23234/rtp/239.3.1.214:4220
CGTN 新闻,http://114.254.147.3:23234/rtp/239.3.1.215:4220
CGTN 纪录,http://114.254.147.3:23234/rtp/239.3.1.216:4220
CGTN 西班牙语,http://114.254.147.3:23234/rtp/239.3.1.217:4220
CGTN 法语,http://114.254.147.3:23234/rtp/239.3.1.218:4220
CGTN 阿拉伯语,http://114.254.147.3:23234/rtp/239.3.1.219:4220
