浙江频道 2026/06/30 更新,#genre#
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江钱江频道,http://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
浙江经济生活,http://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江教科频道,http://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江民生休闲,http://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江新闻频道,http://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江少儿频道,http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
中国蓝新闻,http://ali-m-l.cztv.com/channels/lantian/channel009/1080p.m3u8
浙江国际频道,http://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江之江纪录,http://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
杭州余杭平安,http://l.cztvcloud.com/channels/lantian/SXyuhang2/720p.m3u8
杭州余杭未来,http://l.cztvcloud.com/channels/lantian/SXyuhang3/720p.m3u8
杭州余杭综合,http://l.cztvcloud.com/channels/lantian/SXyuhang1/720p.m3u8
宁波象山综合,http://l.cztvcloud.com/channels/lantian/SXxiangshan1/720p.m3u8
宁波余姚综合,http://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8
上虞新闻综合,http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8
上虞文化影院,http://l.cztvcloud.com/channels/lantian/SXshangyu2/720p.m3u8
上虞新商都,http://l.cztvcloud.com/channels/lantian/SXshangyu3/720p.m3u8
丽水云和综合,http://l.cztvcloud.com/channels/lantian/SXyunhe1/720p.m3u8
丽水庆元综合,http://l.cztvcloud.com/channels/lantian/SXqingyuan1/720p.m3u8
丽水松阳综合,http://l.cztvcloud.com/channels/lantian/SXsongyang1/720p.m3u8
丽水缙云综合,http://l.cztvcloud.com/channels/lantian/SXjinyun1/720p.m3u8
丽水遂昌综合,http://l.cztvcloud.com/channels/lantian/SXsuichang1/720p.m3u8
丽水青田综合,http://l.cztvcloud.com/channels/lantian/SXqingtian1/720p.m3u8
丽水龙泉综合,http://l.cztvcloud.com/channels/lantian/SXlongquan1/720p.m3u8
云和新闻综合,http://l.cztvcloud.com/channels/lantian/SXyunhe1/720p.m3u8
兰溪新闻综合,http://l.cztvcloud.com/channels/lantian/SXlanxi1/720p.m3u8
宁波余姚生活,http://l.cztvcloud.com/channels/lantian/SXyuyao2/720p.m3u8
宁波余姚综合,http://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8
宁波象山综合,http://l.cztvcloud.com/channels/lantian/SXxiangshan1/720p.m3u8
嵊州公共新闻综合,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8
平湖公共新闻综合,http://l.cztvcloud.com/channels/lantian/SXpinghu1/720p.m3u8
平湖新闻综合,http://l.cztvcloud.com/channels/lantian/SXpinghu1/720p.m3u8
平湖民生休闲,http://l.cztvcloud.com/channels/lantian/SXpinghu2/720p.m3u8
庆元综合频道,http://l.cztvcloud.com/channels/lantian/SXqingyuan1/720p.m3u8
开化新闻综合,http://l.cztvcloud.com/channels/lantian/SXkaihua1/720p.m3u8
开化国家公园,http://l.cztvcloud.com/channels/lantian/SXkaihua2/720p.m3u8
文成二套,http://l.cztvcloud.com/channels/lantian/SXwencheng2/720p.m3u8
文成综合频道,http://l.cztvcloud.com/channels/lantian/SXwencheng1/720p.m3u8
文成综合频道,http://l.cztvcloud.com/channels/lantian/SXwencheng1/720p.m3u8
普陀新闻综合,http://l.cztvcloud.com/channels/lantian/SXputuo1/720p.m3u8
松阳综合频道,http://l.cztvcloud.com/channels/lantian/SXsongyang1/720p.m3u8
永嘉新闻综合,http://l.cztvcloud.com/channels/lantian/SXyongjia1/720p.m3u8
温州永嘉综合,http://l.cztvcloud.com/channels/lantian/SXyongjia1/720p.m3u8
绍兴上虞影视,http://l.cztvcloud.com/channels/lantian/SXshangyu2/720p.m3u8
绍兴上虞综合,http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8
绍兴公共频道,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8
绍兴新闻综合,http://live.shaoxing.com.cn/video/s10001-sxhb/index.m3u8
绍兴公共频道,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8
绍兴嵊州综合,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8
绍兴文化影视,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
绍兴新闻综合,http://live.shaoxing.com.cn/video/s10001-sxhb/index.m3u8
缙云综合频道,http://l.cztvcloud.com/channels/lantian/SXjinyun1/720p.m3u8
舟山新闻综合,http://live1.plus.wifizs.cn/xwzh/sd/live.m3u8
舟山公共生活,http://live1.plus.wifizs.cn/ggsh/sd/live.m3u8
苍南新闻综合,http://l.cztvcloud.com/channels/lantian/SXcangnan1/720p.m3u8
萧山新闻综合,http://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8
萧山生活频道,http://l.cztvcloud.com/channels/lantian/SXxiaoshan2/720p.m3u8
衢州开化综合,http://l.cztvcloud.com/channels/lantian/SXkaihua1/720p.m3u8
衢州衢江综合,http://l.cztvcloud.com/channels/lantian/SXqujiang1/720p.m3u8
衢州龙游生活,https://l.cztvcloud.com/channels/lantian/SXlongyou2/720p.m3u8
衢州龙游综合,https://l.cztvcloud.com/channels/lantian/SXlongyou1/720p.m3u8
诸暨新闻综合,http://l.cztvcloud.com/channels/lantian/SXzhuji3/720p.m3u8
遂昌综合频道,http://l.cztvcloud.com/channels/lantian/SXsuichang1/720p.m3u8
金华东阳综合,http://l.cztvcloud.com/channels/lantian/SXdongyang1/720p.m3u8
金华兰溪综合,http://l.cztvcloud.com/channels/lantian/SXlanxi1/720p.m3u8
青田电视台,http://l.cztvcloud.com/channels/lantian/SXqingtian1/720p.m3u8
龙泉公共新闻综合,http://l.cztvcloud.com/channels/lantian/SXlongquan1/720p.m3u8
龙游新闻综合,http://l.cztvcloud.com/channels/lantian/SXlongyou1/720p.m3u8
龙游生活娱乐,http://l.cztvcloud.com/channels/lantian/SXlongyou2/720p.m3u8
浙江之声,http://ali-m-l.cztv.com/channels/lantian/fm88/128k.m3u8
浙江新闻广播,http://ali-m-l.cztv.com/channels/lantian/fm988/128k.m3u8
浙江广播经济,http://ali-m-l.cztv.com/channels/lantian/fm95/128k.m3u8
浙江民生资讯,http://ali-m-l.cztv.com/channels/lantian/fm996/128k.m3u8
浙江音乐调频,http://ali-m-l.cztv.com/channels/lantian/fm968/128k.m3u8
浙江交通之声,http://ali-m-l.cztv.com/channels/lantian/fm93/128k.m3u8
浙江旅游之声,http://ali-m-l.cztv.com/channels/lantian/fm1045/128k.m3u8
浙江城市之声,http://ali-m-l.cztv.com/channels/lantian/fm107/128k.m3u8
湖南电信-组播1,#genre#

湖南电信-组播2,#genre#

湖南电信-组播3,#genre#

湖北电信-组播1,#genre#
湖北公共新闻,http://59.174.163.57:4022/rtp/239.69.1.40:9880
湖北经视频道,http://59.174.163.57:4022/rtp/239.69.1.41:9886
湖北综合频道,http://59.174.163.57:4022/rtp/239.69.1.42:9892
湖北垄上频道,http://59.174.163.57:4022/rtp/239.69.1.43:9898
湖北影视频道,http://59.174.163.57:4022/rtp/239.69.1.204:10866
湖北生活频道,http://59.174.163.57:4022/rtp/239.69.1.205:10872
湖北教育频道,http://59.174.163.57:4022/rtp/239.69.1.206:10878
武汉新闻综合,http://59.174.163.57:4022/rtp/239.69.1.145:10506
武汉电视剧,http://59.174.163.57:4022/rtp/239.69.1.146:10512
武汉科技生活,http://59.174.163.57:4022/rtp/239.69.1.251:11148
武汉文体频道,http://59.174.163.57:4022/rtp/239.69.1.147:10518
武汉教育频道,http://59.174.163.57:4022/rtp/239.69.1.60:9994
